location_id,country,state_union_territory,district,city_category
62,India,Andhra Pradesh,Prakasam,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
63,India,Andhra Pradesh,Prakasam,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
64,India,Andhra Pradesh,Sri Potti Sriramulu Nellore,"Tier 1 City (Mumbai, Delhi, and similar cities)"
65,India,Andhra Pradesh,Sri Potti Sriramulu Nellore,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
66,India,Andhra Pradesh,Sri Potti Sriramulu Nellore,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
67,India,Andhra Pradesh,Sri Sathya Sai,"Tier 1 City (Mumbai, Delhi, and similar cities)"
68,India,Andhra Pradesh,Sri Sathya Sai,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
69,India,Andhra Pradesh,Sri Sathya Sai,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
70,India,Andhra Pradesh,Srikakulam,"Tier 1 City (Mumbai, Delhi, and similar cities)"
71,India,Andhra Pradesh,Srikakulam,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
72,India,Andhra Pradesh,Srikakulam,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
73,India,Andhra Pradesh,Tirupati,"Tier 1 City (Mumbai, Delhi, and similar cities)"
74,India,Andhra Pradesh,Tirupati,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
75,India,Andhra Pradesh,Tirupati,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
76,India,Andhra Pradesh,Visakhapatnam,"Tier 1 City (Mumbai, Delhi, and similar cities)"
77,India,Andhra Pradesh,Visakhapatnam,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
78,India,Andhra Pradesh,Visakhapatnam,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
79,India,Andhra Pradesh,Vizianagaram,"Tier 1 City (Mumbai, Delhi, and similar cities)"
80,India,Andhra Pradesh,Vizianagaram,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
81,India,Andhra Pradesh,Vizianagaram,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
82,India,Andhra Pradesh,West Godavari,"Tier 1 City (Mumbai, Delhi, and similar cities)"
83,India,Andhra Pradesh,West Godavari,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
84,India,Andhra Pradesh,West Godavari,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
85,India,Andhra Pradesh,Y.S.R.,"Tier 1 City (Mumbai, Delhi, and similar cities)"
86,India,Andhra Pradesh,Y.S.R.,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
87,India,Andhra Pradesh,Y.S.R.,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
88,India,Arunachal Pradesh,Anjaw,"Tier 1 City (Mumbai, Delhi, and similar cities)"
89,India,Arunachal Pradesh,Anjaw,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
90,India,Arunachal Pradesh,Anjaw,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
91,India,Arunachal Pradesh,Bichom,"Tier 1 City (Mumbai, Delhi, and similar cities)"
92,India,Arunachal Pradesh,Bichom,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
93,India,Arunachal Pradesh,Bichom,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
94,India,Arunachal Pradesh,Dibang Valley,"Tier 1 City (Mumbai, Delhi, and similar cities)"
95,India,Arunachal Pradesh,Dibang Valley,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
96,India,Arunachal Pradesh,Dibang Valley,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
97,India,Arunachal Pradesh,East Kameng,"Tier 1 City (Mumbai, Delhi, and similar cities)"
98,India,Arunachal Pradesh,East Kameng,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
99,India,Arunachal Pradesh,East Kameng,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
100,India,Arunachal Pradesh,East Siang,"Tier 1 City (Mumbai, Delhi, and similar cities)"
101,India,Arunachal Pradesh,East Siang,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
102,India,Arunachal Pradesh,East Siang,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
103,India,Arunachal Pradesh,Kamle,"Tier 1 City (Mumbai, Delhi, and similar cities)"
104,India,Arunachal Pradesh,Kamle,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
105,India,Arunachal Pradesh,Kamle,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
106,India,Arunachal Pradesh,Keyi Panyor,"Tier 1 City (Mumbai, Delhi, and similar cities)"
107,India,Arunachal Pradesh,Keyi Panyor,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
108,India,Arunachal Pradesh,Keyi Panyor,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
109,India,Arunachal Pradesh,Kra Daadi,"Tier 1 City (Mumbai, Delhi, and similar cities)"
110,India,Arunachal Pradesh,Kra Daadi,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
111,India,Arunachal Pradesh,Kra Daadi,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
112,India,Arunachal Pradesh,Kurung Kumey,"Tier 1 City (Mumbai, Delhi, and similar cities)"
113,India,Arunachal Pradesh,Kurung Kumey,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
114,India,Arunachal Pradesh,Kurung Kumey,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
115,India,Arunachal Pradesh,Leparada,"Tier 1 City (Mumbai, Delhi, and similar cities)"
116,India,Arunachal Pradesh,Leparada,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
117,India,Arunachal Pradesh,Leparada,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
118,India,Arunachal Pradesh,Lohit,"Tier 1 City (Mumbai, Delhi, and similar cities)"
119,India,Arunachal Pradesh,Lohit,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
120,India,Arunachal Pradesh,Lohit,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
121,India,Arunachal Pradesh,Longding,"Tier 1 City (Mumbai, Delhi, and similar cities)"
122,India,Arunachal Pradesh,Longding,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
123,India,Arunachal Pradesh,Longding,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
124,India,Arunachal Pradesh,Lower Dibang Valley,"Tier 1 City (Mumbai, Delhi, and similar cities)"
125,India,Arunachal Pradesh,Lower Dibang Valley,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
126,India,Arunachal Pradesh,Lower Dibang Valley,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
127,India,Arunachal Pradesh,Lower Siang,"Tier 1 City (Mumbai, Delhi, and similar cities)"
128,India,Arunachal Pradesh,Lower Siang,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
129,India,Arunachal Pradesh,Lower Siang,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
130,India,Arunachal Pradesh,Lower Subansiri,"Tier 1 City (Mumbai, Delhi, and similar cities)"
131,India,Arunachal Pradesh,Lower Subansiri,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
132,India,Arunachal Pradesh,Lower Subansiri,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
133,India,Arunachal Pradesh,Namsai,"Tier 1 City (Mumbai, Delhi, and similar cities)"
134,India,Arunachal Pradesh,Namsai,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
135,India,Arunachal Pradesh,Namsai,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
136,India,Arunachal Pradesh,Pakke Kessang,"Tier 1 City (Mumbai, Delhi, and similar cities)"
137,India,Arunachal Pradesh,Pakke Kessang,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
138,India,Arunachal Pradesh,Pakke Kessang,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
139,India,Arunachal Pradesh,Papum Pare,"Tier 1 City (Mumbai, Delhi, and similar cities)"
140,India,Arunachal Pradesh,Papum Pare,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
141,India,Arunachal Pradesh,Papum Pare,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
142,India,Arunachal Pradesh,Shi Yomi,"Tier 1 City (Mumbai, Delhi, and similar cities)"
143,India,Arunachal Pradesh,Shi Yomi,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
144,India,Arunachal Pradesh,Shi Yomi,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
145,India,Arunachal Pradesh,Siang,"Tier 1 City (Mumbai, Delhi, and similar cities)"
146,India,Arunachal Pradesh,Siang,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
147,India,Arunachal Pradesh,Siang,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
148,India,Arunachal Pradesh,Tawang,"Tier 1 City (Mumbai, Delhi, and similar cities)"
149,India,Arunachal Pradesh,Tawang,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
150,India,Arunachal Pradesh,Tawang,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
151,India,Arunachal Pradesh,Tirap,"Tier 1 City (Mumbai, Delhi, and similar cities)"
152,India,Arunachal Pradesh,Tirap,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
153,India,Arunachal Pradesh,Tirap,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
154,India,Arunachal Pradesh,Upper Siang,"Tier 1 City (Mumbai, Delhi, and similar cities)"
155,India,Arunachal Pradesh,Upper Siang,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
156,India,Arunachal Pradesh,Upper Siang,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
157,India,Arunachal Pradesh,Upper Subansiri,"Tier 1 City (Mumbai, Delhi, and similar cities)"
158,India,Arunachal Pradesh,Upper Subansiri,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
159,India,Arunachal Pradesh,Upper Subansiri,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
160,India,Arunachal Pradesh,West Kameng,"Tier 1 City (Mumbai, Delhi, and similar cities)"
161,India,Arunachal Pradesh,West Kameng,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
162,India,Arunachal Pradesh,West Kameng,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
163,India,Arunachal Pradesh,West Siang,"Tier 1 City (Mumbai, Delhi, and similar cities)"
164,India,Arunachal Pradesh,West Siang,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
165,India,Arunachal Pradesh,West Siang,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
166,India,Assam,Bajali,"Tier 1 City (Mumbai, Delhi, and similar cities)"
167,India,Assam,Bajali,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
168,India,Assam,Bajali,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
169,India,Assam,Baksa,"Tier 1 City (Mumbai, Delhi, and similar cities)"
170,India,Assam,Baksa,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
171,India,Assam,Baksa,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
172,India,Assam,Barpeta,"Tier 1 City (Mumbai, Delhi, and similar cities)"
173,India,Assam,Barpeta,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
174,India,Assam,Barpeta,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
175,India,Assam,Biswanath,"Tier 1 City (Mumbai, Delhi, and similar cities)"
176,India,Assam,Biswanath,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
177,India,Assam,Biswanath,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
178,India,Assam,Bongaigaon,"Tier 1 City (Mumbai, Delhi, and similar cities)"
179,India,Assam,Bongaigaon,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
180,India,Assam,Bongaigaon,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
181,India,Assam,Cachar,"Tier 1 City (Mumbai, Delhi, and similar cities)"
182,India,Assam,Cachar,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
183,India,Assam,Cachar,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
184,India,Assam,Charaideo,"Tier 1 City (Mumbai, Delhi, and similar cities)"
185,India,Assam,Charaideo,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
186,India,Assam,Charaideo,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
187,India,Assam,Chirang,"Tier 1 City (Mumbai, Delhi, and similar cities)"
188,India,Assam,Chirang,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
189,India,Assam,Chirang,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
190,India,Assam,Darrang,"Tier 1 City (Mumbai, Delhi, and similar cities)"
191,India,Assam,Darrang,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
192,India,Assam,Darrang,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
193,India,Assam,Dhemaji,"Tier 1 City (Mumbai, Delhi, and similar cities)"
194,India,Assam,Dhemaji,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
195,India,Assam,Dhemaji,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
196,India,Assam,Dhubri,"Tier 1 City (Mumbai, Delhi, and similar cities)"
197,India,Assam,Dhubri,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
198,India,Assam,Dhubri,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
199,India,Assam,Dibrugarh,"Tier 1 City (Mumbai, Delhi, and similar cities)"
200,India,Assam,Dibrugarh,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
201,India,Assam,Dibrugarh,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
202,India,Assam,Dima Hasao,"Tier 1 City (Mumbai, Delhi, and similar cities)"
203,India,Assam,Dima Hasao,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
204,India,Assam,Dima Hasao,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
205,India,Assam,Goalpara,"Tier 1 City (Mumbai, Delhi, and similar cities)"
206,India,Assam,Goalpara,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
207,India,Assam,Goalpara,"Towns and Rural Villages (Not Cities, typically less than 5-10 lac population)"
208,India,Assam,Golaghat,"Tier 1 City (Mumbai, Delhi, and similar cities)"
209,India,Assam,Golaghat,"Tier 2 and Tier 3 Cities (Guntur, Patna, Chandigarh, Kanpur, Srinagar, Bhopal, Thrissur, Kolhapur, Dehradun and other small cities)"
